44,0001-01-01 00:00:00.000,FMT,39,28,NKQ,QBffff,TimeUS,C,Q1,Q2,Q3,Q4,,,,,,,,,,
45,0001-01-01 00:04:31.604,FMTU,271604648,39,s#----,F-0000,,,,,,,,,,,,,,,,
46,0001-01-01 00:04:31.604,NKQ,271604648,0,0.9998548,0.003657747,0.003702629,0.01622747,,,,,,,,,,,,,,
47,0001-01-01 00:00:00.000,FMT,40,48,NKT,QBIffffffff,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax,,,,,
48,0001-01-01 00:04:31.604,FMTU,271604648,40,s#sssssssss,F-000000000,,,,,,,,,,,,,,,,
49,0001-01-01 00:04:31.604,NKT,271604648,0,13119,0.02,0.02,0.01019984,0.020011,0.001019984,0.020825,0.001019984,0.020825,,,,,,,,,
50,0001-01-01 00:04:31.604,NKF1,271604648,1,0.42,0.41,1.86,-0.1057073,0.09869072,0.001466934,-0.000350494,-0.08382406,0.07816188,0.003882614,0.12,0.12,0.12,587.09,,,,
51,0001-01-01 00:04:31.604,NKF2,271604648,1,-1,0,0,0,0,0,232,52,-528,0,0,0,0,,,,,
52,0001-01-01 00:04:31.604,NKF3,271604648,1,-0.09,0.09,0,-0.05,0.05,0.03,0,0,0,2.83,0,0,0,,,,,
53,0001-01-01 00:04:31.604,NKF4,271604648,1,0.02,0.01,0,0.03,0,0.000500933,0.01509561,-0.01452709,0,16,107327,0,0,,,,,
54,0001-01-01 00:04:31.604,NKQ,271604648,1,0.9998537,0.003658105,0.00368561,0.01629849,,,,,,,,,,,,,,
55,0001-01-01 00:04:31.604,NKT,271604648,1,13119,0.02,0.02,0.01019984,0.02001831,0.001019984,0.021658,0.001019984,0.021658,,,,,,,,,
56,0001-01-01 00:00:00.000,FMT,47,44,XKF4,QBcccccfffHBIHb,TimeUS,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI,
57,0001-01-01 00:04:31.604,FMTU,271604648,47,s#------mm-----,F-------??-----,,,,,,,,,,,,,,,,
58,0001-01-01 00:04:31.604,XKF4,271604648,0,0,0,0,0.01,0,0.007628099,0.000542407,-0.00069852,0,48,107327,0,0,,,,,
59,0001-01-01 00:00:00.000,FMT,44,56,XKF1,QBccCfffffffccce,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
60,0001-01-01 00:04:31.604,FMTU,271604648,44,s#ddhnnnnmmmkkkm,F-BBB0000000BBBB,,,,,,,,,,,,,,,,
61,0001-01-01 00:04:31.604,XKF1,271604648,0,0.07,0.06,0.78,-0.01994409,0.01925972,0.003524261,-0.003167539,-0.01774258,0.0171828,0.01647819,0.2,0.2,0.18,587.09,,,,
62,0001-01-01 00:00:00.000,FMT,45,46,XKF2,QBccccchhhhhhfff,TimeUS,C,AX,AY,AZ,VWN,VWE,MN,ME,MD,MX,MY,MZ,IDX,IDY,IS
63,0001-01-01 00:04:31.604,FMTU,271604648,45,s#---nnGGGGGGoor,F----BBCCCCCC000,,,,,,,,,,,,,,,,
64,0001-01-01 00:04:31.604,XKF2,271604648,0,0,0,-0.01,0,0,232,52,-528,0,0,0,0,0,0,,,,
65,0001-01-01 00:00:00.000,FMT,46,42,XKF3,QBcccccchhhccff,TimeUS,C,IVN,IVE,IVD,IPN,IPE,IPD,IMX,IMY,IMZ,IYAW,IVT,RErr,ErSc,
66,0001-01-01 00:04:31.604,FMTU,271604648,46,s#nnnmmmGGGd?--,F-BBBBBBCCCBB00,,,,,,,,,,,,,,,,
67,0001-01-01 00:04:31.604,XKF3,271604648,0,-0.01,0.01,0,-0.01,0.01,0.07,0,0,0,0.94,0,0,3.811932E-05,,,,,
68,0001-01-01 00:00:00.000,FMT,48,41,XKF5,QBBhhhcccCCfff,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos,,
69,0001-01-01 00:04:31.604,FMTU,271604648,48,s#----m???mrnm,F-----BBBBB000,,,,,,,,,,,,,,,,
70,0001-01-01 00:04:31.604,XKF5,271604648,0,0,0,0,0,0.05,0.05,0,0,0.5,0.000253346,0.001024131,0.008945543,,,,,,
71,0001-01-01 00:00:00.000,FMT,51,20,XKFS,QBBBBBBBBB,TimeUS,C,MI,BI,GI,AI,SS,GPS_GTA,GPS_CHK_WAIT,MAG_FUSION,,,,,,
72,0001-01-01 00:04:31.604,FMTU,271604648,51,s#--------,F---------,,,,,,,,,,,,,,,,
73,0001-01-01 00:04:31.604,XKFS,271604648,0,0,0,0,0,0,1,0,1,,,,,,,,,,
74,0001-01-01 00:00:00.000,FMT,52,28,XKQ,QBffff,TimeUS,C,Q1,Q2,Q3,Q4,,,,,,,,,,
75,0001-01-01 00:04:31.604,FMTU,271604648,52,s#????,F-????,,,,,,,,,,,,,,,,
76,0001-01-01 00:04:31.604,XKQ,271604648,0,0.9999764,0.000635708,0.000540111,0.006817339,,,,,,,,,,,,,,
77,0001-01-01 00:00:00.000,FMT,55,60,XKV1,QBffffffffffff,TimeUS,C,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,,
78,0001-01-01 00:04:31.604,FMTU,271604648,55,s#------------,F-------------,,,,,,,,,,,,,,,,
79,0001-01-01 00:04:31.604,XKV1,271604648,0,1.981019E-07,7.273422E-06,7.273395E-06,0.000277647,0.0172534,0.0172534,0.01701925,0.040685,0.04068499,0.2446793,1.571224E-10,1.571238E-10,,,,,,
80,0001-01-01 00:00:00.000,FMT,56,60,XKV2,QBffffffffffff,TimeUS,C,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,,
81,0001-01-01 00:04:31.604,FMTU,271604648,56,s#------------,F-------------,,,,,,,,,,,,,,,,
82,0001-01-01 00:04:31.604,XKV2,271604648,0,3.972041E-10,1.414936E-05,1.414936E-05,1.414995E-07,0,0,0,0,0,0,0,0,,,,,,
83,0001-01-01 00:00:00.000,FMT,53,48,XKT,QBIffffffff,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax,,,,,
84,0001-01-01 00:04:31.604,FMTU,271604648,53,s#sssssssss,F-000000000,,,,,,,,,,,,,,,,
85,0001-01-01 00:04:31.604,XKT,271604648,0,13092,0,0.02000002,0.01224,0.02794005,0.001224,0.039984,0.001224,0.039984,,,,,,,,,
86,0001-01-01 00:04:31.604,XKF4,271604648,1,0,0,0,0.01,0,0.007629846,0.001201855,-0.000451892,0,48,107327,0,0,,,,,
87,0001-01-01 00:04:31.604,XKF1,271604648,1,0.07,0.05,0.78,-0.01955435,0.01950882,0.003307731,-0.003351308,-0.01755321,0.01708976,0.01638206,0.2,0.2,0.18,587.09,,,,
88,0001-01-01 00:04:31.604,XKF2,271604648,1,0,0,-0.01,0,0,232,52,-528,0,0,0,0,0,0,,,,
89,0001-01-01 00:04:31.604,XKF3,271604648,1,-0.01,0.01,0,-0.01,0.01,0.07,0,0,0,0.95,0,0,3.72499E-05,,,,,
90,0001-01-01 00:04:31.604,XKFS,271604648,1,0,0,0,0,0,1,0,1,,,,,,,,,,
91,0001-01-01 00:04:31.604,XKQ,271604648,1,0.9999759,0.000643828,0.000527585,0.006889317,,,,,,,,,,,,,,
92,0001-01-01 00:04:31.604,XKT,271604648,1,13092,0,0.02000002,0.01224,0.02794285,0.001224,0.040817,0.001224,0.039984,,,,,,,,,
93,0001-01-01 00:00:00.000,FMT,70,45,AHR2,QccCfLLffff,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4,,,,,
94,0001-01-01 00:04:31.604,FMTU,271604648,70,sddhmDU----,FBBB0GG----,,,,,,,,,,,,,,,,
95,0001-01-01 00:04:31.604,AHR2,271604648,0.1,0.09,359.81,587.15,-35.3632623,149.1652375,0.9999979,0.000897848,0.000790547,-0.001653429,,,,,,,,,
96,0001-01-01 00:00:00.000,FMT,74,31,POS,QLLfff,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt,,,,,,,,,,
97,0001-01-01 00:04:31.604,FMTU,271604648,74,sDUmmm,FGG000,,,,,,,,,,,,,,,,
98,0001-01-01 00:04:31.604,POS,271604648,-35.3632624,149.1652376,587.08,0.003521811,-0.01647819,,,,,,,,,,,,,,
